name,position,email,phone,address,city,state,zip,salary,manager,department,hire_date,termination_date,termination_reason
Howard Dennis,Developer,isjap@vidu.jm,(659) 702-9539,Sigub Extension,Ragsiptor,NY,18486,1923.83,Isabella Cox,HR,8/28/18,6/23/52, Fired
Frederick Spencer,Developer,uwewemit@bereb.ch,(609) 891-5504,Debit Key,Mambamu,KS,99257,6697.36,Dale Pittman,IT,6/18/65,12/8/54,Layoff
Cora Cooper, Accountant,hiz@megfumzik.bw,(942) 986-5669,Jata Boulevard,Eholopti,PA,85714,9435.41,Douglas Harrington,DevOPS,4/23/84,1/20/34,Retired
Myra Atkins, Accountant,serat@jatacoh.jo,(515) 631-5706,Gerev Turnpike,Rasevi,VT,55681,2453.39,Milton Francis,Sales,5/14/38,5/13/60, 
Mitchell Owen,Manager,fal@bakunejat.ly,(587) 801-6832,Husus Point,Ogulopis,SD,79220,7859.8,Genevieve Nunez,HR,11/11/47,11/26/96,Quit
Tony Copeland,Sales Associate,bi@ra.vc,(249) 615-2049,Vanha Circle,Towfava,UT,44721,3319.09,Shane Cain,Sales,4/10/36,2/19/91,Layoff
Mary Walters,Developer,jokdap@pogena.ck,(724) 992-6254,Vifivi Loop,Lazfesok,ID,48593,7714.02,Katherine Edwards,DevOPS,12/10/11,9/26/13,Retired
George Bates,Sales Associate,ni@rugtah.ck,(706) 526-6007,Vetici Turnpike,Zerjikno,NJ,27170,5481.06,Marion Salazar,DevOPS,3/27/81,8/11/02,Quit
Joseph Owens,Lead,nuwem@mazpi.dk,(411) 369-5697,Ocabep Glen,Damausu,SD,51617,8793.24,Lura Black,HR,8/24/70,11/12/44, Fired
Clarence Bush,Developer,fel@mu.lk,(637) 612-5960,Ohoj View,Bikvetpi,OH,18564,1567.09,Clifford Zimmerman,HR,11/25/61,12/26/06, Fired
Gavin Vasquez,Manager,tip@pofak.al,(518) 650-9302,Jezuru Way,Dosaszit,AZ,71643,5753.06,Nell Ortiz,Sales,3/25/70,6/17/60,Quit
Cecelia Johnson,Sales Associate,zinokicen@la.mh,(577) 719-3009,Hovop Ridge,Ininoubu,NY,42667,6455.41,Vera Thornton,Sales,8/1/45,8/5/29,Retired
Rose Francis,Lead,coizrun@lu.sn,(287) 216-5976,Wevug Drive,Lealpel,GA,78461,6303.76,Jessie Perkins,IT,1/21/38,2/20/19, 
Alma Davidson,Developer,ijuv@omak.mh,(852) 638-8848,Bicwal Court,Lanicej,OH,70886,218.29,Bruce Carlson,IT,3/23/47,1/19/65,Quit
Harriett Wood, Accountant,kigum@ebieko.eg,(952) 533-6252,Pumci Extension,Samzelhos,ID,17896,1098.77,Mary Stevenson,DevOPS,1/24/03,6/23/54,Quit
